id,title,brand,price,old_price,weight
122,Urban Decay Born to Run Eyeshadow Palette,7,4900,5500,450 gm
123,"The Body Shop Born Lippy Pot Lip Balm Raspberry, 10ML",6,350,450,10 ML
124,"The Body Shop Born Lippy Pot Lip Balm Strawberry, 10ML",6,350,450,10 ML
125,"The Body Shop Born Lippy Pot Lip Balm Watermelon, 10ML",6,350,450,10 ML
126,The Body Shop Lotion Strawberry 250 ML,6,940,1400,250 ML
127,The Body Shop White Musk Smooth Satin Body Lotion 250ML,6,900,1400,250 ML
130,The Body Shop Ginger Shampoo 400ML,6,1400,1900,400 ML
134,"MAC Lipstick Taupe,3GM",3,1900,2200,3 GM
136,"MAC Lipstick Candy Yum Yum,3GM",3,1900,2200,3 GM
137,"MAC Lipstick Chili,3GM",,1900,2200,3 GM
138,"MAC Lipstick Fast Play,3GM",3,1900,2200,3 GM
139,"MAC Lipstick Impulsive,3GM",3,1900,2200,3 GM
140,"MAC Lipstick Lustering,3GM",3,1900,2200,3 GM
141,"MAC Lipstick Mac Red,3GM",3,1900,2200,3 GM
142,"MAC Lipstick Mocha,3GM",3,1900,2200,3 GM
144,"MAC Lipstick Rebel,3GM",3,1900,2200,3 GM
145,"MAC Lipstick Russian Red,3GM",3,1900,2200,3 GM
146,"MAC Lipstick Sea Sheer,3GM",3,1900,2200,3 GM
147,"MAC Lipstick Shocking Revelation,3GM",3,1900,2200,3 GM
148,"MAC Lipstick Snob,3GM",3,1900,2200,3 GM
149,"MAC Lipstick Style Shocked,3GM",3,1900,2200,3 GM
150,"MAC Lipstick Twig,3GM",3,1900,2200,3 GM
151,"MAC Lipstick Velvet Teddy,3GM",3,1900,2200,3 GM
152,"MAC Lipstick Verve,3GM",3,1900,2200,3 GM
153,"MAC Lipstick Mini Chili,1.8GM",3,1200,1400,1.8 GM
154,"MAC Lipstick Mini Snob,1.8GM",3,1200,1400,1.8 GM
155,"MAC Lipstick Mini Tropic Tonic,1.8GM",3,1200,1400,1.8 GM
156,"Makeup Revolution 196 Colour Spectrum Palette, 176.4 G",8,2100,2600,176.4 G
165,"Anafeli Lipstick n ° 09C - Color Cherry red,3GM",10,100,450,3 GM
170,"Anafeli Lipstick n ° 14C - Color Plum,3GM",10,100,450,3 GM
172,"Anafeli Lipstick n ° 16C - Color Orange red,3GM",10,100,450,3 GM
183,"Anafeli Lipstick n ° 27C - Color Nude,3GM",10,100,450,3 GM
189,"Anafeli Lipstick n ° 33C - Color Aubergine,3GM",10,100,450,3 GM
192,"Real Techniques Base Expert Face Brush, 1GM",11,850,1050,1 GM
193,"Real Techniques Base Finish Dusl-Ended Expert Sponge,1GM",11,900,1050,1 GM
194,"Real Techniques Expert Concealer Brush,1GM",11,700,900,1 GM
196,"Real Techniques Powder Brush,1GM",11,850,1050,1 GM
197,"Real Techniques Perfect Crease Duo,1GM",11,800,1000,1 GM
198,"Real Techniques Mini Expert Face Brush,1GM",11,650,850,1 GM
199,"Cosmod Paris Mega XXL Volume Mascara,6ML",13,350,500,6 ML
200,"Aroma Hair Color Black,45ML",12,300,550,45 ML
201,"Aroma Hair Color Dark Blond,45ML",12,300,550,45 ML
202,"Aroma Hair Color Light Blond,45ML",12,300,550,45 ML
203,"Vitamin E Face Wash,125ML",6,1050,1400,125 ML
204,"MAC Lipstick Mini Breathing Fire,1.8GM",3,1200,1400,1.8 GM
205,"MAC Lipstick Mini Captive,1.8GM",3,1200,1400,1.8 GM
206,"MAC Lipstick Mini Mehr,1.8GM",3,1200,1400,1.8 GM
207,"MAC Lipstick Mini Velvet Teddy,1.8GM",3,1200,1400,1.8 GM
208,"Evoluderm BB Cream 6 in 1 Medium,50ML",14,550,800,50 ML
209,"Jordana Sweet Cream Matte Liquid Lip Color 01 Crème Brulee,3GM",2,340,700,3 GM
210,"Jordana Sweet Cream Matte Liquid Lip Color 06 Cherry Cobbler,3GM",2,340,700,3 GM
211,"Jordana Sweet Cream Matte Liquid Lip Color 07 Tiramisu,3GM",2,340,700,3 GM
212,"Jordana Sweet Cream Matte Liquid Lip Color 09 Rose Macaron,3GM",2,340,700,3 GM
213,"Jordana Sweet Cream Matte Liquid Lip Color 10 Sugared Plum,3GM",2,340,700,3 GM
214,"Jordana Sweet Cream Matte Liquid Lip Color 11 Red Velvet Cake,3GM",2,340,700,3 GM
215,"Jordana Sweet Cream Matte Liquid Lip Color 26 Currant Jam,3GM",2,340,700,3 GM
216,"Pink Grapefruit Body Scrub,250ML",6,1000,1650,250 ML
217,"MILANI Amore Lip Creme – Precious,6GM",4,640,800,6 GM
218,"MILANI Amore Matte Lip Creme – Amore,6GM",4,640,800,6 GM
219,"MILANI Amore Matte Lip Creme – Gorgeous,6GM",4,640,800,6 GM
220,"Milani Amore Matte Lip Creme – Loved,6GM",4,640,800,6 GM
221,"MILANI Amore Matte Lip Creme- Devotion,6GM",4,640,800,6 GM
222,"Anafeli Paris Liquid Matte Lipstick 06,7ML",10,350,450,7 ML
223,"Anafeli Paris Liquid Matte Lipstick 07,7ML",10,350,450,7 ML
224,"Anafeli Paris Liquid Matte Lipstick 12,7ML",10,350,450,7 ML
225,"Anafeli Paris Liquid Matte Lipstick 16,7ML",10,350,450,7 ML
226,"Anafeli Paris Liquid Matte Lipstick 23,7ML",10,350,450,7 ML
227,"M.A.C Studio Fix Powder Plus Foundation- NC 20,15GM",3,3250,3800,15 GM
228,"Innisfree My Real Squeeze Sheet Mask EX Rice, 20ml",21,115,150,20ml
235,"Innisfree my real squeeze mask Aloe Vera, 20ml",21,115,150,20ml
236,"Innisfree My Real Squeeze sheet Mask EX Rose, 20ml",21,115,150,20ml
237,"Innisfree my real squeeze Sheet mask Acai Berry, 20ml",21,115,150,20ml
238,"Innisfree my real squeeze mask Honey,20ml",21,115,150,20ml
239,"Innisfree my real squeeze mask pomegranate, 20ml",21,115,150,20ml
240,"Nature Republic Soothing & Moisture Aloe Vera 92% Soothing Gel, 300ml",24,580,1000,300ml
241,"Innisfree jeju volcanic pore clay mask, 100ml",21,1350,1800,100ml
242,"Innisfree My Real Sheet Mask Bamboo, 20ml",21,115,150,20ml
243,"Innisfree My Real Sheet Mask Broccoli, 20ml",21,115,150,20ml
244,"Innisfree My Real Sheet Mask Fig, 20ml",21,115,150,20ml
245,"Innisfree My Real sheet mask Tea Tree, 20ml",21,115,150,20ml
246,"The Face Shop jeju aloe ice, 300ml",27,550,1000,300ml
247,"9 Wishes Miracle White Ampule Serum, 25ml",16,1400,1500,25ml
